threshold,accuracy,correct,total,false_positive_out_of_scope,false_fallback_in_scope,answered_count,fallback_count
0.05,0.7142857142857143,5,7,2,0,7,0
0.055,0.7142857142857143,5,7,2,0,7,0
0.06,0.7142857142857143,5,7,2,0,7,0
0.065,0.7142857142857143,5,7,2,0,7,0
0.07,0.7142857142857143,5,7,2,0,7,0
0.075,0.7142857142857143,5,7,2,0,7,0
0.08,0.7142857142857143,5,7,2,0,7,0
0.085,0.7142857142857143,5,7,2,0,7,0
0.09,0.7142857142857143,5,7,2,0,7,0
0.095,0.7142857142857143,5,7,2,0,7,0
0.1,0.7142857142857143,5,7,2,0,7,0
0.105,0.7142857142857143,5,7,2,0,7,0
0.11,0.7142857142857143,5,7,2,0,7,0
0.115,0.7142857142857143,5,7,2,0,7,0
0.12,0.7142857142857143,5,7,2,0,7,0
0.125,0.7142857142857143,5,7,2,0,7,0
0.13,0.7142857142857143,5,7,2,0,7,0
0.135,0.7142857142857143,5,7,2,0,7,0
0.14,0.7142857142857143,5,7,2,0,7,0
0.145,0.7142857142857143,5,7,2,0,7,0
0.15,0.7142857142857143,5,7,2,0,7,0
0.155,0.7142857142857143,5,7,2,0,7,0
0.16,0.7142857142857143,5,7,2,0,7,0
0.165,0.7142857142857143,5,7,2,0,7,0
0.17,0.7142857142857143,5,7,2,0,7,0
0.175,0.7142857142857143,5,7,2,0,7,0
0.18,0.7142857142857143,5,7,2,0,7,0
0.185,0.7142857142857143,5,7,2,0,7,0
0.19,0.7142857142857143,5,7,2,0,7,0
0.195,0.7142857142857143,5,7,2,0,7,0
0.2,0.7142857142857143,5,7,2,0,7,0
0.205,0.7142857142857143,5,7,2,0,7,0
0.21,0.7142857142857143,5,7,2,0,7,0
0.215,0.7142857142857143,5,7,2,0,7,0
0.22,0.7142857142857143,5,7,2,0,7,0
0.225,0.7142857142857143,5,7,2,0,7,0
0.23,0.7142857142857143,5,7,2,0,7,0
0.235,0.7142857142857143,5,7,2,0,7,0
0.24,0.7142857142857143,5,7,2,0,7,0
0.245,0.7142857142857143,5,7,2,0,7,0
0.25,0.7142857142857143,5,7,2,0,7,0
0.255,0.7142857142857143,5,7,2,0,7,0
0.26,0.8571428571428571,6,7,1,0,6,1
0.265,0.8571428571428571,6,7,1,0,6,1
0.27,0.8571428571428571,6,7,1,0,6,1
0.275,0.8571428571428571,6,7,1,0,6,1
0.28,0.8571428571428571,6,7,1,0,6,1
0.285,0.8571428571428571,6,7,1,0,6,1
0.29,0.8571428571428571,6,7,1,0,6,1
0.295,0.8571428571428571,6,7,1,0,6,1
0.3,0.8571428571428571,6,7,1,0,6,1
0.305,1.0,7,7,0,0,5,2
0.31,1.0,7,7,0,0,5,2
0.315,1.0,7,7,0,0,5,2
0.32,1.0,7,7,0,0,5,2
0.325,1.0,7,7,0,0,5,2
0.33,0.8571428571428571,6,7,0,1,4,3
0.335,0.8571428571428571,6,7,0,1,4,3
0.34,0.8571428571428571,6,7,0,1,4,3
0.345,0.8571428571428571,6,7,0,1,4,3
0.35,0.8571428571428571,6,7,0,1,4,3
0.355,0.8571428571428571,6,7,0,1,4,3
0.36,0.8571428571428571,6,7,0,1,4,3
0.365,0.8571428571428571,6,7,0,1,4,3
0.37,0.8571428571428571,6,7,0,1,4,3
0.375,0.8571428571428571,6,7,0,1,4,3
0.38,0.8571428571428571,6,7,0,1,4,3
0.385,0.8571428571428571,6,7,0,1,4,3
0.39,0.8571428571428571,6,7,0,1,4,3
0.395,0.8571428571428571,6,7,0,1,4,3
0.4,0.8571428571428571,6,7,0,1,4,3
0.405,0.8571428571428571,6,7,0,1,4,3
